price_month,report_period,i_cip,colombian_milds,other_milds,brazilian_naturals,robustas,new_york_ice,london_ice
2025-03,2026-02,347.85,404.97,404.02,392.48,257.61,382.75,247.63
2025-04,2026-02,335.76,394.14,392.84,378.27,246.39,370.37,235.69
2025-05,2026-02,334.41,395.59,397.84,380.02,237.76,368.21,224.63
2025-06,2026-02,295.06,360.08,363.16,338.53,196.21,329.56,183.21
2025-07,2026-02,259.31,322.37,325.5,297.04,167.19,289.17,153.43
2025-08,2026-02,297.05,366.72,366.32,336.88,199.13,328.57,181.43
2025-09,2026-02,324.62,403.77,400.21,374.91,210.85,366.31,197.56
2025-10,2026-02,326.38,403.25,403.79,373.47,215.06,366.0,202.16
2025-11,2026-02,330.44,408.75,410.31,380.17,214.91,373.57,202.33
2025-12,2026-02,304.68,382.32,381.14,355.38,190.53,347.71,178.87
2026-01,2026-02,296.89,371.59,363.94,343.77,192.52,334.99,180.23
2026-02,2026-02,267.57,330.89,321.35,308.62,179.73,288.76,166.06
